"draftYear","draftRound","draftSelection","draftOverall","tmID","firstName","lastName","fullName","suffixName","playerID","draftFrom","lgID","playedPro","notes","pickRoute"
"1997","2","0","14","ATG","Cathy","Boswell","Cathy Boswell","","","Illinois State University","ABL","x","","ATG"
"1997","5","0","41","ATG","Amy","Cherubini","Amy Cherubini","","","Indiana University","ABL","x","","ATG"
"1997","4","0","32","ATG","Boky","Vidic","Boky Vidic","","","Oregon State University","ABL","x","","ATG"
"1997","1","0","5","ATG","Tracy","Henderson","Tracy Henderson","","","University of Georgia","ABL","v","T","ATG"
"1997","3","0","23","ATG","Abby","Conklin","Abby Conklin","","","University of Tennessee","ABL","x","","ATG"
"2008","1","0","8","ATL","Tamera","Young","Tamera Young","","","James Madison University","WNBA","v","","SES to ATD"
"2008","2","0","24","ATL","Morenike","Atunrase","Morenike Atunrase","","","Texas A&M University","WNBA","v","","SAM to INF to ATD"
"2008","3","0","32","ATL","Danielle","Hood","Danielle Hood","","","University of Hartford","WNBA","x","","ATD"
"2009","3","0","27","ATL","Jessica","Morrow","Jessica Morrow","","","Baylor University","WNBA","x","","ATD"
"2009","2","0","25","ATL","Shalee","Lehning","Shalee Lehning","","","Kansas State University","WNBA","v","","SES to ATD"
"2009","1","0","1","ATL","Angel","McCoughtry","Angel McCoughtry","","","University of Louisville","WNBA","v","","ATD"
"2010","2","0","21","ATL","Brigitte","Ardossi","Brigitte Ardossi","","","Georgia Institute of Technology","WNBA","x","","ATD"
"2010","1","0","9","ATL","Chanel","Mokango","Chanel Mokango","","","Mississippi State University","WNBA","v","","ATD"
"2010","3","0","33","ATL","Brittainey","Raven","Brittainey Raven","","","University of Texas","WNBA","v","","ATD"
"2011","2","0","18","ATL","Rachel","Jarry","Rachel Jarry","","","Australia","WNBA","x","","SSS to ATD"
"2011","3","0","32","ATL","Kelsey","Bolte","Kelsey Bolte","","","Iowa State University","WNBA","x","","ATD"
"2011","1","0","8","ATL","Ta'Shia","Phillips","Ta?Shia Phillips","","","Xavier University","WNBA","v","","ATD"
"2012","2","0","14","ATL","Tiffany","Haynes","Tiffany Haynes","","","University of Connecticut","WNBA","x","","WSM to ATD"
"2006","1","0","6","CHI","Candice","Dupree","Candice Dupree","","","Temple University","WNBA","v","","CSK"
"2006","3","0","34","CHI","Kerri","Gardin","Kerri Gardin","","","Virginia Polytechnic Institute","WNBA","v","","CSK"
"2006","2","0","20","CHI","Jennifer","Harris","Jennifer Harris","","","Washburn University","WNBA","x","","CSK"
"2007","3","0","27","CHI","Jenna","Rubino","Jenna Rubino","","","DePaul University","WNBA","x","","CSK"
"2007","2","0","20","CHI","Stephanie","Raymond","Stephanie Raymond","","","Northern Illinois University","WNBA","v","","CSK"
"2007","1","0","3","CHI","Armintie","Price","Armintie Price","","","University of Mississippi","WNBA","v","","CSK"
"2007","1","0","10","CHI","Carla","Thomas","Carla Thomas","","","Vanderbilt University","WNBA","v","","SAM to CSK"
"2008","3","0","33","CHI","Angela","Tisdale","Angela Tisdale","","","Baylor University","WNBA","x","","CSK"
"2008","1","0","2","CHI","Sylvia","Fowles","Sylvia Fowles","","","Louisiana State University","WNBA","v","","CSK"
"2008","2","0","19","CHI","Quianna","Chaney","Quianna Chaney","","","Louisiana State University","WNBA","v","","CSK"
"2009","2","0","16","CHI","Danielle","Gant","Danielle Gant","","","Texas A&M University","WNBA","x","","CSK"
"2009","1","0","3","CHI","Kristi","Toliver","Kristi Toliver","","","University of Maryland","WNBA","v","","CSK"
"2009","3","0","29","CHI","Jennifer","Risper","Jennifer Risper","","","Vanderbilt University","WNBA","x","","CSK"
"2010","1","0","4","CHI","Epiphanny","Prince","Epiphanny Prince","","","Rutgers University","WNBA","v","","CSK"
"2010","3","0","28","CHI","Abi","Olajuwon","Abi Olajuwon","","","University of Oklahoma","WNBA","v","","CSK"
"2011","2","0","15","CHI","Carolyn","Swords","Carolyn Swords","","","Boston College","WNBA","v","","CSK"
"2011","1","0","3","CHI","Courtney","Vandersloot","Courtney Vandersloot","","","Gonzaga University","WNBA","v","","CSK"
"2011","3","0","27","CHI","Amy","Jaeschke","Amy Jaeschke","","","Northwestern University","WNBA","x","","CSK"
"2011","2","0","17","CHI","Angie","Bjorklund","Angie Bjorklund","","","University of Tennessee","WNBA","v","","LSP to CSK"
"2012","2","0","23","CHI","Shey","Peddy","Shey Peddy","","","Temple University","WNBA","x","","INF to CSK"
"2012","3","0","27","CHI","Sydney","Carter","Sydney Carter","","","Texas A&M University","WNBA","x","","CSK"
"1997","1","0","4","CLE","Eva","Nemcova","Eva Nemcova","","","Czech Republic","WNBA","v","regular","CRK"
"1997","1","0","2","CLE","Janice","Lawrence Braxton","Janice Lawrence Braxton","","","Louisiana Tech University","WNBA","v","initial","CLR"
"1997","4","0","29","CLE","Anita","Maxwell","Anita Maxwell","","","New Mexico State University","WNBA","v","regular","CRK"
"1997","3","0","20","CLE","Tina","Nicholson","Tina Nicholson","","","Penn State University","WNBA","v","regular","CRK"
"1997","1","0","2","CLE","Isabelle","Fijalkowski","Isabelle Fijalkowski","","","University of Colorado","WNBA","v","elite","CRK"
"1997","2","0","13","CLE","Merlakia","Jones","Merlakia Jones","","","University of Florida","WNBA","v","regular","CRK"
"1997","2","0","10","CLE","Michelle","Edwards","Michelle Edwards","","","University of Iowa","WNBA","v","initial","CLR"
"1997","2","0","10","CLE","Lynette","Woodard","Lynette Woodard","","","University of Kansas","WNBA","v","elite","CRK"
"1998","3","0","26","CLE","Tanja","Kostic","Tanja Kostic","","","Oregon State University","WNBA","v","regular","CRK"
"1998","2","0","16","CLE","Suzie","McConnell-Serio","Suzie McConnell-Serio","","","Penn State University","WNBA","v","regular","CRK"
"1998","4","0","36","CLE","Tammye","Jenkins","Tammye Jenkins","","","University of Georgia","WNBA","x","regular","CRK"
"1998","1","0","6","CLE","Cindy","Blodgett","Cindy Blodgett","","","University of Maine","WNBA","v","regular","CRK"
"1999","1","0","11","CLE","Chasity","Melvin","Chasity Melvin","","","North Carolina State University","WNBA","v","regular","CRK"
"1999","2","0","23","CLE","Mery","Andrade","Mery Andrade","","","Old Dominion University","WNBA","v","regular","CRK"
"1999","3","0","35","CLE","Tracy","Henderson","Tracy Henderson","","","University of Georgia","WNBA","v","regular","CRK"
"1999","4","0","47","CLE","Kellie","Jolly Harper","Kellie Jolly Harper","","","University of Tennessee","WNBA","v","regular","CRK"
"2000","3","0","33","CLE","Monique","Morehouse","Monique Morehouse","","","Auburn University","WNBA","x","","CRK"
"2000","1","0","1","CLE","Ann","Wauters","Ann Wauters","","","Belgium","WNBA","v","","CRK"
"2000","2","0","17","CLE","Helen","Darling","Helen Darling","","","Penn State University","WNBA","v","","CRK"
"2000","4","0","49","CLE","Sophie","Von Saldern","Sophie Von Saldern","","","University of California","WNBA","x","","CRK"
"2001","1","0","11","CLE","Penny","Taylor","Penny Taylor","","","Australia","WNBA","v","","CRK"
"2001","4","0","59","CLE","Erin","Batth","Erin Batth","","","Clemson University","WNBA","x","","CRK"
"2001","2","0","27","CLE","Jaynetta","Saunders","Jaynetta Saunders","","","Texas A&M University","WNBA","v","","CRK"
"2001","3","0","43","CLE","Angelina","Wolvert","Angelina Wolvert","","","University of Oregon","WNBA","v","","CRK"
"2002","2","0","31","CLE","Angie","Welle","Angie Welle","","","Iowa State University","WNBA","x","","CRK"
"2002","1","0","8","CLE","Deanna","Jackson","Deanna Jackson","","","University of Alabama-Birmingham","WNBA","v","","PHM to CRK"
"2002","2","0","24","CLE","Brandi","McCain","Brandi McCain","","","University of Florida","WNBA","v","","PHM to CRK"
"2002","4","0","63","CLE","March","Strickland","March? Strickland","","","University of Maryland","WNBA","x","","CRK"
"2003","1","0","1","CLE","LaToya","Thomas","LaToya Thomas","","","Mississippi State University","WNBA","v","","CRK"
"2003","2","0","15","CLE","Jennifer","Butler","Jennifer Butler","","","University of Massachusetts","WNBA","x","","CRK"
"2003","3","0","30","CLE","Shaquala","Williams","Shaquala Williams","","","University of Oregon","WNBA","v","","CRK"
"1997","6","0","50","CLS","Andria","Jones","Andria Jones","","","Kansas State University","ABL","x","","ATL to COQ"
"1997","6","0","46","CLS","Shanele","Stires","Shanele Stires","","","Kansas State University","ABL","x","","COQ"
"1997","2","0","12","CLS","Angie","Potthoff","Angie Potthoff","","","Penn State University","ABL","v","","NEB to COQ"
"1997","3","0","27","CLS","Jannon","Roland","Jannon Roland","","","Purdue University","ABL","v","","COQ"
"1997","4","0","30","CLS","Latina","Davis","Latina Davis","","","University of Tennessee","ABL","x","","NEB to COQ"
"1998","2","0","20","CLS","Shanele","Stires","Shanele Stires","","","Kansas State University","ABL","v","","COQ"
"1998","2","0","17","CLS","Stacey","Ford","Stacey Ford","","","University of Georgia","ABL","v","","NEB to COQ"
"1997","3","0","25","COL","Missy","Masley","Missy Masley","","","Penn State University","ABL","x","","COX"
"1997","3","0","19","COL","Dana","Wynne","Dana Wynne","","","Seton Hall University","ABL","v","","LBS to SER to COX"
"1997","4","0","34","COL","Traci","Thirdgill","Traci Thirdgill","","","University of Washington","ABL","x","","COX"
"1997","2","0","16","COL","Keisha","Anderson","Keisha Anderson","","","University of Wisconsin","ABL","v","","COX"
"1997","5","0","43","COL","Mara","Cunningham","Mara Cunningham","","","Vanderbilt University","ABL","x","","COX"
"1998","1","0","5","COL","Alisa","Burras","Alisa Burras","","","Louisiana Tech University","ABL","v","","COX"
"1998","2","0","15","COL","Darla","Simpson","Darla Simpson","","","University of Houston","ABL","x","","COX"
"1998","2","0","18","COL","Tiffany","Gooden","Tiffany Gooden","","","University of Iowa","ABL","x","","PRT to COX"
"2003","3","0","34","CON","Lindsey","Wilson","Lindsey Wilson","","","Iowa State University","WNBA","x","","CON"
"2003","2","0","13","CON","Courtney","Coleman","Courtney Coleman","","","Ohio State University","WNBA","v","","DTS to CON"
"2004","3","0","29","CON","Candace","Futrell","Candace Futrell","","","Duquesne University","WNBA","v","","SSS to CON"
"2004","2","0","24","CON","Ugo","Oha","Ugo Oha","","","George Washington University","WNBA","x","","HTC to CON"
"2004","2","0","16","CON","Jessica","Brungo","Jessica Brungo","","","Penn State University","WNBA","v","","SSS to CON"
"2004","1","0","4","CON","Lindsay","Whalen","Lindsay Whalen","","","University of Minnesota","WNBA","v","","SSS to CON"
"2005","2","0","21","CON","Erin","Phillips","Erin Phillips","","","Australia","WNBA","v","","CON"
"2005","3","0","34","CON","Megan","Mahoney","Megan Mahoney","","","Kansas State University","WNBA","v","","CON"
"2005","1","0","8","CON","Katie","Feenstra","Katie Feenstra","","","Liberty University","WNBA","v","","CON"
"2006","3","0","42","CON","Marita","Payne","Marita Payne","","","Auburn University","WNBA","x","","CON"
"2006","2","0","28","CON","Debbie","Merrill","Debbie Merrill","","","Ohio State University","WNBA","x","","CON"
"2007","1","0","13","CON","Sandrine","Gruda","Sandrine Gruda","","","France","WNBA","v","","CON"
"2007","1","0","12","CON","Kamesha","Hairston","Kamesha Hairston","","","Temple University","WNBA","v","","LSP to CON"
"2007","2","0","26","CON","Cori","Chambers","Cori Chambers","","","University of Georgia","WNBA","v","","CON"
"2007","3","0","38","CON","Kiera","Hardy","Kiera Hardy","","","University of Nebraska","WNBA","x","","CON"
"2008","1","0","9","CON","Amber","Holt","Amber Holt","","","Middle Tennessee State University","WNBA","v","","CON"
"2008","3","0","37","CON","Lauren","Ervin","Lauren Ervin","","","University of Arkansas","WNBA","v","","CON"
"2008","1","0","12","CON","Ketia","Swanier","Ketia Swanier","","","University of Connecticut","WNBA","v","","INF to CON"
"2008","2","0","23","CON","Jolene","Anderson","Jolene Anderson","","","University of Wisconsin","WNBA","v","","CON"
"2009","1","0","10","CON","Chante","Black","Chante Black","","","Duke University","WNBA","v","","CON"
"2009","3","0","36","CON","Alba","Torrens","Alba Torrens","","","Spain","WNBA","x","","CON"
"2009","2","0","17","CON","Lyndra","Littles","Lyndra Littles","","","University of Virginia","WNBA","x","","CON"
"2010","3","0","27","CON","Johannah","Leedham","Johannah Leedham","","","Franklin Pierce University","WNBA","x","","CON"
"2010","2","0","15","CON","Allison","Hightower","Allison Hightower","","","Louisiana State University","WNBA","v","","CON"
"2010","1","0","1","CON","Tina","Charles","Tina Charles","","","University of Connecticut","WNBA","v","","NYL to MNL to CON"
"2010","1","0","7","CON","Danielle","McCray","Danielle McCray","","","University of Kansas","WNBA","v","","TLS to CON"
"2011","3","0","28","CON","Adrienne","Johnson","Adrienne Johnson","","","Louisiana Tech University","WNBA","v","","CON"
"2011","2","0","16","CON","Sydney","Colson","Sydney Colson","","","Texas A&M University","WNBA","v","","CON"
"2012","1","0","9","CON","Astan","Dabo","Astan Dabo","","","Mali","WNBA","x","","CON"
"2012","2","0","21","CON","Chalysa 'Chay'","Shegog","Chalysa 'Chay' Shegog","","","University of North Carolina","WNBA","v","","CON"
"1998","2","0","14","DET","Rachael","Sporn","Rachael Sporn","","","Australia","WNBA","v","regular","DTS"
"1998","4","0","34","DET","Sandy","Brondello","Sandy Brondello","","","Australia","WNBA","v","regular","DTS"
"1998","2","0","3","DET","Razija","Mujanovic","Razija Mujanovi?","","","Bosnia and Herzegovina","WNBA","v","initial","DTS"
"1998","1","0","1","DET","Cindy","Brown","Cindy Brown","","","California State University, Long Beach","WNBA","v","initial","DTS"
"1998","1","0","4","DET","Korie","Hlede","Korie Hlede","","","Duquesne University","WNBA","v","regular","DTS"
"1998","3","0","24","DET","Gergana 'Gigi'","Branzova","Gergana ?Gigi? Branzova","","","Florida International University","WNBA","v","regular","DTS"
"1999","4","0","41","DET","Astou","Ndiaye","Astou Ndiaye","","","Senegal","WNBA","v","regular","DTS"
"1999","1","0","5","DET","Jennifer","Azzi","Jennifer Azzi","","","Stanford University","WNBA","v","regular","DTS"
"1999","2","0","17","DET","Val","Whiting","Val Whiting","","","Stanford University","WNBA","v","regular","DTS"
"1999","3","0","29","DET","Dominique","Canty","Dominique Canty","","","University of Alabama","WNBA","v","regular","DTS"
"2000","4","0","60","DET","Carolin 'Cal'","Bouchard","Carolin 'Cal' Bouchard","","","Boston College","WNBA","x","","DTS"
"2000","1","0","8","DET","Tamicha","Jackson","Tamicha Jackson","","","Louisiana Tech University","WNBA","v","","MIS to UTZ to DTS"
"2000","2","0","28","DET","Madinah","Slaise","Madinah Slaise","","","University of Cincinnati","WNBA","v","","DTS"
"2000","1","0","3","DET","Edwina","Brown","Edwina Brown","","","University of Texas","WNBA","v","","UTZ to DTS"
"2000","3","0","44","DET","Chavonne","Hammond","Chavonne Hammond","","","Vanderbilt University","WNBA","x","","DTS"
"2001","2","0","22","DET","Jae","Kingi","Jae Kingi","","","Australia","WNBA","v","","DTS"
"2001","4","0","54","DET","Kelly","Santos","Kelly Santos","","","Brazil","WNBA","v","","DTS"
"2001","1","0","6","DET","Deanna","Nolan","Deanna Nolan","","","University of Georgia","WNBA","v","","DTS"
